no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1,N4,同,한가지 동,"""한가지 동"". 같다, 동일",ドウ,おな(じ),"同 = 𠔼 + 口。 𠔼는 여기서는 ""둥글게 둘러앉은 모습""을 그린 모양자입니다. 「口」는 ""입""을 뜻합니다. 同는 ""둥글게 둘러앉아(𠔼) 함께 이야기하다(口)""라는 뜻입니다. ""다 같이 이야기하다"" -> ""같다, 한가지""라는 의미입니다.",음독은 ドウ입니다. 특별한 점은 없습니다.,"同じ는 ""같음, 동일""을 뜻합니다. 예문) 今も昔も同じだ 지금이나 예나 같다 同じ日の午後같은 날 오후",no
2,N4,事,일 사,"""일 사"". 일, 사항, 사건",ジ、ズ,こと,"事는 ""제사 의식용 도구를 손(⺕)에 쥔 모습""을 그린 상형문자입니다. 고대 사회에서 제사는 대단히 중요한 국가적 행사였습니다. ""중요한 행사"" -> ""일, 사항, 사건""이라는 의미입니다.",음독은 ジ、ズ입니다. 그러나 절대다수는 ジ로 읽습니다. ズ는 일부 예외적인 단어에만 쓰이는 음독입니다.,"事는 ""일, 사항, 사건"" 등을 뜻합니다.",no
3,N4,自,스스로 자,"""스스로 자"". 자신, 자기",ジ、シ,みずか(ら),"自는 본래 ""사람의 코""를 본따 그린 상형문자입니다. ""코"" -> ""얼굴의 중앙"" -> ""자기 자신""이라는 의미입니다.",음독은 ジ、シ입니다. 그러나 절대다수는 ジ로 읽습니다. シ는自然(자연) 외에는 거의 쓰지 않는 음독입니다.,"自ら는 ""자기, 자신, 스스로""를 뜻합니다. 예문) 自らを省みる 자신을 돌아보다 自ら実行する 스스로 실행하다",no
4,N4,民,백성 민,"""백성 민"". 국민, 민족",ミン,たみ,"民는 ""칼로 노예의 눈을 찌르는 모습""을 그린 상형문자입니다. 고대 중국에서는 노예의 왼쪽 눈을 멀게 해 도망가지 못하게 했다고 합니다. ""눈을 찔린 노예"" -> ""노예"" -> ""백성, 국민""이라는 의미입니다.",음독은 ミン입니다. 특별한 점은 없습니다.,"民는 ""백성, 국민""을 뜻합니다.",no
5,N4,発,쏠 발,"""쏠 발"". 쏘다, 일으키다, 발생하다",ハツ、ホツ,,"発 = 癶 +开。 癶는 여기서는 ""화살촉""을 그린 모양자입니다. 开는 여기서는 ""활시위(二)에 걸린 화살대(儿)""를 그린 모양자입니다. 発는 ""화살(癶)을 쏘다(开)"" -> ""쏘다"" -> ""일으키다, 발생하다""라는 뜻의 글자입니다.",음독은 ハツ、ホツ입니다. 사용 빈도는 ハツ가 더 높으나 특별한 구분법은 없습니다.,発의 정식 훈독은 없습니다.,no
6,N4,者,놈 자,"""놈 자"". 사람; 행동의 주체",シャ,もの,"者 = 耂 +曰。 「耂」는 ""노인""을 뜻하는 부수입니다(링크 참조). 「曰」(""가로 왈"")은 ""말하다""라는 뜻의 부수입니다(링크 참조). 者는 ""말하고 있는(曰)노인(耂)"" -> ""사람, 행동의 주체""라는 뜻의 글자입니다.",음독은 シャ입니다. 특별한 점은 없습니다.,"者는 ""자, 사람""을 뜻합니다.",no
7,N4,地,땅 지,"""땅 지"". 땅, 대지",チ、ジ,,"地 = 土 + 也。 「土」는 ""흙""을 뜻합니다. 「也」는 어조사(""~이다"", ""역시"", ""또한"" 등등)로서 쓰이는 글자입니다(링크 참조). 地는 ""흙(土) + 이다(也)"" -> ""땅, 대지""라는 뜻의 글자입니다.",음독은 チ、ジ입니다. 특별한 구분법은 없습니다.,地의 정식 훈독은 없습니다.,no
8,N4,合,합할 합,"""합할 합"". 합치다, 들어맞다",ゴウ、ガッ、カッ,あ(う)、あ(わす)、あ(わせる),"合 = 亼 + 口。 亼는 여기서는 ""그릇의 뚜껑""을 그린 모양자입니다. 口는 여기서는 ""그릇""을 그린 모양자입니다. 合는 ""그릇(口)의뚜껑(亼)을 덮다"" -> ""합치다, 들어맞다""라는 뜻의 글자입니다.",음독은 ゴウ、ガッ、カッ입니다. 사용 빈도는 ゴウ >>ガッ >>>カッ 정도로 보시면 됩니다.,"1.合う 合う는 ""합쳐지다, 조화를 이루다, 일치하다""라는 뜻의 자동사입니다. 예문) 靴が足に合わない 구두가 발에 맞지 않는다 意見が合う 의견이 일치하다 気が合う人마음이 맞는 사람 2.合わす、合わせる 合わす는 ""맞추다, 합치다""라는 뜻의 타동사입니다. 合わせる는 ""맞추다, 합치다""라는 뜻의 2그룹 타동사입니다. 둘 사이에 의미의 차이는 없습니다. 예문) 仏前に手を合わす 불전에 손을 모으다(합장하다) 音楽に合わせて踊る 음악에 맞추어 춤추다 力を合わせる 힘을 합치다(협력하다)",no
9,N4,市,저자 시,"""저자 시"". 시장(market), 도시",シ,いち,"市 = 亠 + 巾。 亠는 여기서는 ""(옷을 걸어놓는) 장대""를 그린 모양자입니다. 「巾」는 ""수건, 천""을 뜻하는 부수입니다(링크 참조). 市는 ""옷감(巾)이 걸려있는(亠) 옷가게""라는 뜻입니다. ""옷가게가 늘어선 시장"" -> ""시장, 도시""라는 의미입니다.",음독은 シ입니다. 특별한 점은 없습니다.,"市는 ""시장""을 뜻합니다.",no
10,N4,業,업 업,"""업 업"". 직업, 사업, 일",ギョウ、ゴウ,わざ,"業는 ""악기를 등에 멘 악사""를 본따 그린 상형문자입니다. ""악기를 들고 다니는 악사"" -> ""직업, 사업, 일""이라는 의미입니다.",음독은 ギョウ、ゴウ입니다. 대략적인 구분법은 다음과 같습니다. 아래 예시단어를 참조해 주세요.,"業는 ""행위, 일, 직업""을 뜻합니다.",no
11,N4,方,모 방,"""모 방"". 방향, 방법",ホウ,かた,"方는 ""소가 끄는 쟁기""를 그린 상형문자입니다. ""소에게 방향을 지시하다"" -> ""방향, 방법""이라는 의미입니다.",음독은 ホウ입니다. 특별한 점은 없습니다.,"方는 ""방법, 방식, 쪽, 편, ~분(경칭)""을 뜻합니다.",no
12,N4,回,돌 회,"""돌 회"". 돌다, 회전, 횟수",カイ、エ,まわ(る)、まわ(す),"回는 ""회오리가 빙글빙글 도는 모습""을 그린 상형문자입니다.",음독은 カイ、エ입니다. 그러나 절대다수는 カイ로 읽습니다. エ는 일부 예외적인 단어에만 쓰이는 음독입니다.,"回る는 ""돌다""라는 뜻의 자동사입니다. 回す는 ""돌리다""라는 뜻의 타동사입니다.",no
13,N4,場,마당 장,"""마당 장"". 장소, 곳",ジョウ,ば,"場 = 土 + 昜。 「土」는 ""흙, 땅""을 뜻합니다. 「昜」는 ""햇볕, 뜨거운 햇살""을 뜻하는 글자입니다(링크 참조). 場는 ""햇볕이 내리쬐는(昜)넓은 땅(土)"" -> ""장소, 곳""이라는 뜻의 글자입니다.",음독은 ジョウ입니다. 특별한 점은 없습니다.,훈독은 ば입니다. 특별한 점은 없습니다.,no
14,N4,員,인원 원,"""인원 원"". 인원, 점원",イン,,"員 = 口 + 貝。 「口」는 ""입""을 뜻합니다. 「貝」는 ""돈, 재물""을 뜻하는 부수입니다. 員는 ""식비(口)와 월급(貝)"" -> ""인건비"" -> ""인원, 점원""이라는 뜻의 글자입니다.",음독은 イン입니다. 특별한 점은 없습니다.,員의 정식 훈독은 없습니다.,no
