no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1,N1,氏,성씨 씨,"""성씨 씨"". 성씨, 집안, ~씨",シ,うじ,"氏는 ""나무뿌리가 땅 속으로 뻗은 모습""을 그린 상형문자입니다. ""뿌리"" -> ""혈통"" -> ""성씨""라는 의미입니다.",음독은 シ입니다. 특별한 점은 없습니다.,"氏는 ""성씨, 혈통""을 뜻합니다.",no
2,N1,統,거느릴 통,"""거느릴 통"". 거느리다, 통괄하다, 계통",トウ,す(べる),"統 = 糸 +亠 + ム +儿。 「糸」는 ""실""을 뜻합니다. 亠+ム는「子」를 거꾸로 뒤집은 것으로, ""아이""를 뜻합니다. 儿는「人」가 살짝 변형된 것으로, ""사람""을 뜻합니다. 統는 ""아이들(子)을 한데 모아(糸) 데리고 가는 어른(儿)"" -> ""거느리다, 통괄하다""라는 뜻의 글자입니다.",음독은 トウ입니다. 특별한 점은 없습니다.,"統べる는 ""총괄하다, 통합하다, 다스리다""라는 뜻의 2그룹 타동사입니다. 예문) 全体を統べ合わせて言ってみれば 전체를 총괄해서 말한다면 世界を統べる 세계를 다스리다 国政は大統領が統べている 국정은 대통령이 통괄하고 있다",no
3,N1,派,갈래 파,"""갈래 파"". 갈래, 파벌, 갈라지다",ハ,,"派 = 氵 + 𠂢。 「氵」는 ""물""을 뜻합니다. 𠂢는 ""물줄기가 여러 갈래로 갈라져 흘러가는 모습""을 그린 모양자입니다. 派는 ""여러 갈래로 갈라져(𠂢) 흘러가는 물(氵)"" -> ""갈래, 파벌, 갈라지다""라는 뜻의 글자입니다.",음독은 ハ입니다. 특별한 점은 없습니다.,派의 정식 훈독은 없습니다.,no
4,N1,策,꾀 책,"""꾀 책"". 계책, 책략",サク,,"策 = 𥫗 + 朿。 「𥫗」는 ""대나무""를 뜻합니다. 「朿」는 ""삼지창""을 그린 글자입니다. 策는 ""대나무(𥫗) 죽창(朿)으로상대의 허를 찌르는 전략"" -> ""계책, 책략""이라는 뜻의 글자입니다.",음독은 サク입니다. 특별한 점은 없습니다.,策의 정식 훈독은 없습니다.,no
5,N1,提,끌 제,"""끌 제"". 제시하다, 들다",テイ,さ(げる),"提 = 扌 + 是。 「扌」는 ""손""을 뜻합니다. 是(""옳을 시"")는 ""옳다, 바르다""라는 뜻의 상용한자입니다. 是 = 日 + 正。 「日」는 ""태양""을 뜻합니다. 「正」는 ""바르다""라는 뜻입니다. 是는 ""하늘의 태양(日)처럼 바르고 올곧다(正)"" -> ""옳다""라는 뜻의 글자입니다. 提는 ""올바른 제안(是)을 내밀다(扌)"" -> ""제시하다, 들다""라는 뜻의 글자입니다.",음독은 テイ입니다. 특별한 점은 없습니다.,"提げる는 ""(손에) 들다""라는 뜻의 2그룹 타동사입니다.",no
6,N1,挙,들 거,"""들 거"". 들어올리다, 행동하다",キョ,あ(げる)、あ(がる),"挙 = 兴 + 手。 「手」는 ""손""을 뜻합니다. 兴는 여기서는 ""왕관""을 그린 모양자입니다. 挙는 ""왕관(兴)을 높이 들어올리다(手)"" -> ""들어올리다, 행동하다""라는 뜻의 글자입니다.",음독은 キョ입니다. 특별한 점은 없습니다.,"挙げる는 ""(손 등을) 들다, (예식 등을) 거행하다""라는 뜻의 2그룹 타동사입니다. 挙がる는 ""(손 등이) 올라가다, (범인이) 잡히다"" 라는 뜻의 자동사입니다. 예문) 手を挙げる 손을 들다 結婚式を挙げる 결혼식을 올리다 手が挙がる 손이 올라가다 犯人が挙がる 범인이 잡히다",no
7,N1,企,꾀할 기,"""꾀할 기"". 도모하다, 계획하다",キ,くわだ(てる),"企 = 𠆢 + 止。 「止」는 ""발""을 뜻합니다. 𠆢는 여기서는 ""위쪽""을 표현한 모양자입니다. 企는 ""위쪽(𠆢)으로 올라가려(止) 하다"" -> ""신분 상승을 도모하다"" -> ""도모하다, 계획하다""라는 뜻의 글자입니다.",음독은 キ입니다. 특별한 점은 없습니다.,"企てる는 ""기도하다, 계획하다, 시도하다""라는 뜻의 2그룹 타동사입니다. 예문) 謀反を企てる 모반을 기도하다 新しい事業を企てる 새로운 사업을 계획하다",no
8,N1,藤,등나무 등,"""등나무 등"". 등나무",トウ,ふじ,"藤 = 艹 + 月 +龹 + 氺。 「艹」는 ""풀""을 뜻합니다. 「月」는 ""고기""를 뜻합니다. 龹는 여기서는「关」가 변형된 것으로, ""웃음""을 뜻합니다. 氺는「水」가 변형된 것으로, ""물""을 뜻합니다. 藤는 ""등나무 덩굴(艹) 아래서 고기(月)와 술(氺)을 먹으며 웃고 떠들다(龹)""-> ""등나무""라는 뜻의 글자입니다. 등나무 덩굴",음독은 トウ입니다. 특별한 점은 없습니다.,"藤는 ""등나무""를 뜻합니다.",no
9,N1,沢,못 택,"""못 택"". 못, 윤기, 윤택하다",タク,さわ,"沢 = 氵 + 尺。 「氵」는 ""물""을 뜻합니다. 尺는 여기서는 ""얕은 못""을 그린 모양자입니다. 沢는 ""물(氵)이 고여있는 얕은 못(尺)"" -> ""못"" -> ""윤기, 윤택하다""라는 뜻의 글자입니다.",음독은 タク입니다. 특별한 점은 없습니다.,"沢는 ""얕은 못""을 뜻합니다.",no
10,N1,裁,옷 마를 재,"""옷 마를 재"". 재단하다, 판가름하다",サイ,た(つ)、さば(く),"裁 = 𢦏 + 衣。 (소리부 겸 의미부)「𢦏」(サイ)는 ""화려한 의장용 창""을 뜻하는 글자입니다(링크 참조). (의미부)「衣」는 ""옷""을 뜻합니다. 裁는 ""의장용 창(𢦏)과 함께 입을 제복(衣)을 재단하다"" -> ""재단하다""라는 뜻의 글자입니다. (𢦏는 소리부도 겸함)",음독은 サイ입니다. 특별한 점은 없습니다.,"1.裁つ 裁つ는 ""마르다, 재단하다""라는 뜻의 타동사입니다. 예문) 布を裁つ 천을 마르다 2.裁く 裁く는 ""판가름하다, 중재하다, 재판하다""라는 뜻의 타동사입니다. 예문) 罪人を裁く 죄인을 재판하다 喧嘩を裁く 싸움을 중재하다",no
11,N1,証,증거 증,"""증거 증"". 증명, 증거",ショウ,,"証 = 言 + 正。 (의미부)「言」는 ""말하다""라는 뜻입니다. (소리부 겸 의미부)「正」(ショウ)는 ""바르다""라는 뜻입니다. 証는 ""바른대로(正) 말하다(言)"" -> ""증명, 증거""라는 뜻의 글자입니다. (正는 소리부도 겸함)",음독은 ショウ입니다. 특별한 점은 없습니다.,証의 정식 훈독은 없습니다.,no
12,N1,援,도울 원,"""도울 원"". 돕다",エン,,"援 = 扌 + 爰。 「扌」는 ""손""을 뜻합니다. 「爰」는 ""여유롭다, 한가롭다""라는 뜻입니다. 援는 ""스스로가 여유로워(爰) 남에게 도움의 손길(扌)을 내밀다"" -> ""돕다""라는 뜻의 글자입니다.",음독은 エン입니다. 특별한 점은 없습니다.,援의 정식 훈독은 없습니다.,no
13,N1,施,베풀 시,"""베풀 시"". 베풀다, 행하다",シ、セ,ほどこ(す),"施 = 𭤨 + 也。 「𭤨」는 ""바람에 나부끼는 깃발""을 그린 것입니다. 也는 여기서는「地」가 축약된 것으로, ""땅""을 뜻합니다. 施는 ""깃발을 들고(𭤨) 각지(地)를 돌아다니며 자선을 베푸는 승려들"" -> ""베풀다, 행하다""라는 뜻의 글자입니다.",음독은 シ、セ입니다. 특별한 구분법은 없습니다.,"施す는 ""베풀다, 행하다""라는 뜻의 타동사입니다. 예문) 慈悲を施す 자비를 베풀다 手術を施す 수술을 행하다",no
