no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
182,N3,競,다툴 경,"""다툴 경"". 겨루다, 경쟁하다, 다투다",キョウ、ケイ,きそ(う)、せ(る),"競 = 立 + 兄 + 立 + 兄。 「立」는 ""서다""라는 뜻입니다. 「兄」는 ""형""을 뜻합니다. 競는 ""두 사람(兄)이 마주서서(立) 힘을 겨루다"" -> ""겨루다, 경쟁하다, 다투다""라는 뜻의 글자입니다.",음독은 キョウ、ケイ입니다. 특별한 구분법은 없습니다.,"競う는 ""다투다, 경쟁하다""라는 뜻의 자동사 겸 타동사입니다. 競る는 ""다투다, 경쟁하다, 경매하다""라는 뜻의 1그룹 타동사입니다.",no
183,N3,給,줄 급,"""줄 급"". 지급하다, 공급하다",キュウ,,"給 = 糸 + 合。 「糸」는 ""실""을 뜻합니다. 「合」는 ""합치다""라는 뜻입니다. 給는 ""실(糸)이 끊어지지 않도록 계속 이어주다(合)"" -> ""지급하다, 공급하다""라는 뜻의 글자입니다.",음독은 キュウ입니다. 특별한 점은 없습니다.,給의 정식 훈독은 없습니다.,no
184,N3,根,뿌리 근,"""뿌리 근"". 뿌리, 근본",コン,ね,"根 = 木 + 艮。 (의미부)「木」는 ""나무""를 뜻합니다. (소리부 겸 의미부)「艮」(コン)은 ""고개를 숙인 사람""을 뜻합니다(링크 참조). 根는 ""나무(木)의 뿌리를 내려다보다(艮)"" -> ""뿌리, 근본""이라는 뜻의 글자입니다. (艮은 소리부도 겸함)",음독은 コン입니다. 특별한 점은 없습니다.,훈독은 ね입니다. 특별한 점은 없습니다.,no
185,N3,苦,쓸 고,"""쓸 고"". 쓰다, 괴롭다",ク,くる(しい)、くる(しむ)、くる(しめる)、にが(い)、にが(る),"苦 = 艹 + 古。 (의미부)「艹」는 ""풀""을 뜻합니다. (소리부 겸 의미부)「古」(コ)는 ""오래되다""라는 뜻입니다. 苦는 ""오래된(古) 약초(艹)"" -> ""쓰다"" -> ""괴롭다""라는 뜻의 글자입니다. (古는 소리부(コ -> ク)도 겸함)",음독은 ク입니다. 특별한 점은 없습니다.,"1.苦しい、苦しむ、苦しめる 苦しい는 ""괴롭다""라는 뜻의 형용사입니다. 苦しむ는 ""괴로워하다""라는 뜻의 자동사입니다. 苦しめる는 ""괴롭히다, 난처하게 하다""라는 뜻의 2그룹 타동사입니다. 예문) 苦しい気持ち 괴로운 기분 病気で苦しむ 병으로 괴로워하다 敵を苦しめる 적을 괴롭히다 2.苦い、苦る 苦い는 ""쓰다, 씁쓸하다""라는 뜻의 형용사입니다. 苦る는 ""찌푸리다, 불쾌하게 여기다""라는 뜻의 자동사입니다. 예문) 苦い薬쓴 약 苦り切った顔잔뜩 찌푸린 얼굴",no
186,N3,園,동산 원,"""동산 원"". 동산, 정원, 공원",エン,その,"園 = 囗 + 袁。 (의미부)囗는 여기서는 ""정원의 둘레""를 그린 모양자입니다. (소리부 겸 의미부)「袁」(エン)은 ""길다, 헐렁하다""라는 뜻입니다. 園는 ""정원(囗)에서 느긋하게(袁) 여유를 즐기다"" -> ""정원, 동산, 공원""이라는 뜻의 글자입니다. (袁는 소리부도 겸함)",음독은 エン입니다. 특별한 점은 없습니다.,"園는 ""동산, 정원""을 뜻합니다.",no
187,N3,具,갖출 구,"""갖출 구"". 도구",グ,,"具 = 目 + 一 + ハ。 目는 여기서는 ""(그릇 위에 올려진) 떡""을 그린 모양자입니다. 一+ハ는 여기서는 ""제사용 그릇""을 그린 모양자입니다. 具는 ""떡(目)을 담는 제사용 그릇(一+ハ)"" -> ""도구""라는 뜻의 글자입니다.",음독은 グ입니다. 특별한 점은 없습니다.,具의 정식 훈독은 없습니다.,no
188,N3,歴,지낼 력,"""지낼 력"". 지나가다, 경과하다",レキ,,"歴 = 厂 + 林 + 止。 「厂」는 ""기슭, 절벽""을 뜻합니다. 「林」는 ""숲""을 뜻합니다. 「止」는 ""발""을 뜻합니다. 歴는 ""절벽(厂) 아래의 숲(林)으로 걸어 들어간 발자국(止)""이라는 뜻입니다. ""발자국, 기록"" -> ""지나가다, 경과하다, 이력""이라는 의미입니다.",음독은 レキ입니다. 특별한 점은 없습니다.,歴의 정식 훈독은 없습니다.,no
189,N3,辞,말씀 사,"""말씀 사"". 말, 단어, 그만두다",ジ,や(める),"辞 = 舌 + 辛。 「舌」는 ""혀""를 뜻합니다. 「辛」는 ""문신을 새기는 고문 도구""를 뜻하는 부수입니다(링크 참조). 辞는 ""혀(舌)를 찔러서(辛) 말을 하지 못하도록 만들다"" -> ""말, 단어, 그만두다""라는 뜻의 글자입니다.",음독은 ジ입니다. 특별한 점은 없습니다.,"辞める는 ""그만두다, 사임하다""라는 뜻의 2그룹 타동사입니다.",no
190,N3,馬,말 마,"""말 마"". 말",バ,うま、ま,"馬는 ""말""의 모습을 그린 상형문자입니다.",음독은 バ입니다. 특별한 점은 없습니다.,"馬는 ""말""을 뜻합니다.",no
191,N3,愛,사랑 애,"""사랑 애"". 사랑",アイ,,"愛 = ⺤ + 冖 + 心 + 夂。 「⺤」는 ""손""을 뜻합니다. 冖는 여기서는 ""덮다, 품다""라는 뜻을 표현한 모양자입니다. 「心」는 ""마음""을 뜻합니다. 「夂」는 ""발""을 뜻합니다. 愛는 ""사랑하는 마음(心)을 품고(⺤+冖) 다가서다(夂)"" -> ""사랑""이라는 뜻의 글자입니다.",음독은 アイ입니다. 특별한 점은 없습니다.,愛의 정식 훈독은 없습니다.,no
192,N3,未,아닐 미,"""아닐 미"". 아직, 미숙한, 미-(접두어)",ミ,,"未 = 一 + 木。 未는 ""가지가 앙상한 나무(木)""를 그린 상형문자입니다. ""아직 잎이 나지 않은 나무"" -> ""아직, 미숙한""이라는 의미입니다.",음독은 ミ입니다. 특별한 점은 없습니다.,未의 정식 훈독은 없습니다.,no
193,N3,航,배 항,"""배 항"". 항해",コウ,,"航 = 舟 + 亢。 (의미부)舟(""배 주"")는 ""배""를 뜻하는 상용한자입니다. 舟는 ""노를 저어 움직이는 작은 조각배""를 그린 상형문자입니다. (소리부 겸 의미부)「亢」(コウ)는 ""오르다""라는 뜻의 글자입니다(링크 참조). 航는 ""조각배(舟)를 타고 강을 거슬러 올라가다(亢)"" -> ""항해""라는 뜻의 글자입니다. (亢는 소리부도 겸함)",음독은 コウ입니다. 특별한 점은 없습니다.,航의 정식 훈독은 없습니다.,no
194,N3,冷,찰 냉,"""찰 냉"". 차다, 차갑다",レイ,つめ(たい)、ひ(える)、ひ(や)、ひ(やす)、ひ(やかす)、さ(める)、さ(ます),"冷 = 冫 + 令。 (의미부)「冫」는 ""얼음""을 뜻합니다. (소리부 겸 의미부)令(レイ - ""하여금 령"")은 ""명령""을 뜻하는 상용한자입니다. 令 = 亼 + 卩。 亼는 여기서는 ""왕의 궁궐""을 그린 모양자입니다. 「卩」는 ""무릎꿇은 사람""을 뜻합니다. 令는 ""왕(亼)이 무릎꿇은 신하(卩)에게 명령을 내리다"" -> ""명령""이라는 뜻의 글자입니다. 冷는 ""냉혹한(冫) 명령(令)"" -> ""차갑다""라는 뜻의 글자입니다. (令는 소리부도 겸함)",음독은 レイ입니다. 특별한 점은 없습니다.,"1.冷たい 冷たい는 ""차갑다, 차다, 냉담하다""라는 뜻의 형용사입니다. 예문) 冷たい水차가운 물 2.冷える、冷める 冷える는 ""차가워지다""라는 뜻의 2그룹 자동사입니다. 冷める는 ""식다""라는 뜻의 2그룹 자동사입니다. 둘의 차이점은 다음과 같습니다. 아래 예문을 참조해 주세요. 예문) 冷えたビール 차가운 맥주 お茶が冷める 차가 식다 3.冷やす、冷ます 冷やす는 ""차갑게 하다""라는 뜻의 타동사입니다. 冷ます는 ""식히다""라는 뜻의 타동사입니다. 둘의 차이점은冷える、冷める와 같습니다. 예문) ビールを冷やす 맥주를 차게 하다 お茶を冷まして飲む 차를 식혀서 먹다 4.冷やかす 冷やかす는 ""(상대가 부끄러워하거나 당황하도록) 놀리다, 희롱하다""라는 뜻의 타동사입니다. 예문) 新婚夫婦を冷やかす 신혼부부를 놀리다 5.冷や お冷や는 ""냉수""를 뜻합니다.",no
195,N3,鉄,쇠 철,"""쇠 철"". 철",テツ,,"鉄 = 金 + 失。 (의미부)「金」는 ""쇠, 황금""을 뜻합니다. (소리부 겸 의미부)「失」(シツ)는 ""잃다""라는 뜻입니다. 鉄는 ""황금(金)보다 가치가 뒤떨어지는(失) 금속"" -> ""철""이라는 뜻의 글자입니다. (失는 소리부(シツ -> テツ)도 겸함)",음독은 テツ입니다. 특별한 점은 없습니다.,鉄의 정식 훈독은 없습니다.,no
196,N3,類,무리 류,"""무리 류"". 종류, 부류",ルイ,たぐ(い),"類 = 米 + 大 + 頁。 「米」는 ""쌀""을 뜻합니다. 「頁」는 ""머리""를 뜻합니다. 大는 여기서는「犬」가 변형된 것으로, ""개""를 뜻합니다. 類는 ""쌀알(米)처럼 서로 비슷비슷하게 생긴(頁) 개들(犬)""이라는 뜻입니다. ""비슷한 개들끼리 종류별로 나누다"" -> ""종류, 부류""라는 의미입니다.",음독은 ルイ입니다. 특별한 점은 없습니다.,"類い는 ""부류, 종류""를 뜻합니다.",no
197,N3,児,아이 아,"""아이 아"". 아이, 아동",ジ、ニ,,"児는 ""두 다리(儿)로 아장아장 걷는 아기""를 그린 상형문자입니다.",음독은 ジ、ニ입니다. 그러나 절대다수는 ジ로 읽습니다. ニ는小児(소아) 외에는 거의 쓰지 않는 음독입니다.,児의 정식 훈독은 없습니다.,no
