no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1,N2,政,정사 정,"""정사 정"". 정치",セイ、ショウ,まつりごと,"政 = 正 + 攵。 (의미부 겸 소리부)「正」(セイ・ショウ)는 ""바르다""라는 뜻입니다. (의미부)「攵」는 ""때리다, 치다""라는 뜻입니다. 政는 ""잘못된 일들을 때려서(攵) 바로잡다(正)"" -> ""다스리다"" -> ""정치""라는 뜻의 글자입니다. (正는 소리부도 겸함)",음독은 セイ、ショウ입니다. 사용 빈도는 セイ가 훨씬 높습니다.,"政는 ""정치""를 뜻합니다.",no
2,N2,党,무리 당,"""무리 당"". 무리, 세력, 정당",トウ,,"党 = 龸 + 兄。 「龸」는 ""궁궐""을 뜻합니다. 「兄」는 ""형, 맏이""를 뜻합니다. 党는 ""우두머리(兄)를 중심으로 한 궁궐(龸)의 파벌"" -> ""무리, 세력, 정당""이라는 뜻의 글자입니다.",음독은 トウ입니다. 특별한 점은 없습니다.,党의 정식 훈독은 없습니다.,no
3,N2,経,지날 경,"""지날 경"". 경로, 경과, 경도(남북 방향), 경전",ケイ、キョウ,へ(る),"経 = 糸 + 圣。 (의미부)「糸」는 ""실""을 뜻합니다. (소리부 겸 의미부)「圣」(ケイ・キョウ)는 ""지나가다""라는 뜻입니다. 経는""베틀 사이로 날실(糸)이 지나가다(圣)""-> ""지나가다, 경로, 경과""라는 뜻의 글자입니다. (圣는 소리부도 겸함)",음독은 ケイ、キョウ입니다. 구분법은 다음과 같습니다. 아래 예시단어를 참조해 주세요.,"経る는 ""거치다, 겪다, 지나다, 통과하다""라는 뜻의 2그룹 자동사입니다. 예문) 東京を経て京都に帰る 도쿄를 거쳐 교토에 돌아가다 委員会を経て本会議に出す 위원회를 거쳐 본회의에 내놓다",no
4,N2,現,나타날 현,"""나타날 현"". 나타나다, 드러나다",ゲン,あらわ(れる)、あらわ(す),"現 = 𤣩 + 見。 「𤣩」는 ""구슬, 보석""을 뜻합니다. 「見」는 ""보다""라는 뜻입니다. 現는 ""숨겨진 보석(𤣩)이 드러나다(見)"" -> ""나타나다, 드러나다""라는 뜻의 글자입니다.",음독은 ゲン입니다. 특별한 점은 없습니다.,"現れる는 ""나타나다, 드러나다""라는 뜻의 2그룹 자동사입니다. 現す는 ""나타내다, 드러내다""라는 뜻의 타동사입니다. 예문) 姿が現れる 모습이 드러나다 英雄が現れる 영웅이 나타나다 真価が現れる 진가가 나타나다 姿を現す 모습을 드러내다 正体を現す 정체를 드러내다 참고)現れる・現す와表れる・表す의 차이점 아래 예문을 참조해 주세요. 예문) 態度に表れる 태도에서 드러나다 敬意を表す 경의를 표하다 英雄が現れる 영웅이 나타나다 正体を現す 정체를 드러내다",no
5,N2,性,성품 성,"""성품 성"". 성별, 본성, 천성",セイ、ショウ,,"性 = 忄 + 生。 (의미부)「忄」는 ""마음""을 뜻하는 부수입니다(링크 참조). (소리부 겸 의미부)「生」(セイ・ショウ)는 ""태어나다""라는 뜻입니다. 性는 ""타고난(生) 마음(忄)"" -> ""성별, 본성, 천성""이라는 뜻의 글자입니다. (生는 소리부도 겸함)",음독은 セイ、ショウ입니다. 사용 빈도는 セイ가 더 높으나 특별한 구분법은 없습니다.,性의 정식 훈독은 없습니다.,no
6,N2,制,절제할 제,"""절제할 제"". 제어, 제도, 절제, 억제, 통제",セイ,,"制 = 牛 + 巾 + 刂。 「牛」는 ""소""를 뜻합니다. 「巾」는 ""수건, 천""을 뜻합니다. 「刂」는 ""칼""을 뜻합니다. 制는 ""소(牛)에게 농기구를 씌우고(巾) 밭을 갈다(刂)""라는 뜻입니다. ""소를 제어해서 농사를 짓다"" -> ""제어, 제도, 통제, 억제""라는 의미입니다.",음독은 セイ입니다. 특별한 점은 없습니다.,制의 정식 훈독은 없습니다.,no
7,N2,務,힘쓸 무,"""힘쓸 무"". 힘쓰다, 종사하다",ム,つと(める)、つと(まる),"務 = 矛 + 攵 + 力。 (소리부 겸 의미부)矛(ム - ""창 모"")는 ""창""을 뜻하는 상용한자입니다. 矛는 ""날이 세 개인 창""을 그린 상형문자입니다. (의미부)「攵」는 ""때리다, 치다""라는 뜻입니다. (의미부)「力」는 ""힘""을 뜻합니다. 務는 ""창(矛)으로 힘껏(力) 찌르다(攵)"" -> ""힘쓰다, 종사하다""라는 뜻의 글자입니다. (矛는 소리부도 겸함)",음독은 ム입니다. 특별한 점은 없습니다.,"務める는 ""(역할/직책 등을) 맡다""라는 뜻의 2그룹 타동사입니다. 務まる는 ""잘 수행해낼 수 있다, 감당해 낼 수 있다""라는 뜻의 자동사입니다.",no
8,N2,総,거느릴 총,"""거느릴 총"". 전체, 총합",ソウ,,"総 = 糸 + 公 + 心。 「糸」는 ""실""을 뜻합니다. 「公」는 ""공공의, 공적인""이라는 뜻입니다. 「心」는 ""마음""을 뜻합니다. 総는 ""국민(公)의 마음(心)을 하나로 묶다(糸)"" -> ""전체, 총합""이라는 뜻의 글자입니다.",음독은 ソウ입니다. 특별한 점은 없습니다.,総의 정식 훈독은 없습니다.,no
9,N2,領,거느릴 령,"""거느릴 령"". 다스리다, 점유하다, 중요한 부분",リョウ,,"領 = 令 + 頁。 「令」는 ""명령""을 뜻합니다. 「頁」는 ""머리""를 뜻합니다. 領는 ""명령(令)을 내리는 우두머리(頁)"" -> ""다스리다, 점령하다""라는 뜻의 글자입니다.",음독은 リョウ입니다. 특별한 점은 없습니다.,領의 정식 훈독은 없습니다.,no
10,N2,設,베풀 설,"""베풀 설"". 설치하다, 마련하다",セツ,もう(ける),"設 = 言 + 殳。 「言」는 ""말하다""라는 뜻입니다. 「殳」는 본래 ""채찍을 휘두르는 손""을 그린 글자입니다(링크 참조). 設는 ""채찍을 휘두르며(殳) 노예들에게 소리치다(言)""라는 뜻입니다. ""노예들을 시켜 건물을 짓다"" -> ""설치하다, 마련하다""라는 의미입니다.",음독은 セツ입니다. 특별한 점은 없습니다.,"設ける는 ""마련하다, 설치하다""라는 뜻의 2그룹 타동사입니다. 예문) 事務所を設ける 사무소를 설치하다 講座を設ける 강좌를 만들다 機会を設ける 기회를 마련하다",no
