no,level,kanji,meaning_quoted,meaning,onyomi,kunyomi,shape_explanation,onyomi_detail,kunyomi_detail,memorized
1992,N1,岡,산등성이 강,"""산등성이 강"". 언덕(인명/지명한자)",,おか,"岡 = 𦉰 + 山。 𦉰는「罒」가 변형된 것으로, ""쇠그물""을 뜻합니다. 「山」는 ""산""을 뜻합니다. 岡는""쇠그물(𦉰)이 쳐진 작은 산(山)"" -> ""언덕""이라는 뜻의 글자입니다. (다만, 이 한자는 현재는 지명 혹은 인명에만 쓰이는 글자입니다.)",岡의 정식 음독은 없습니다.,훈독은 おか입니다. 지명 혹은 인명에 쓰입니다.,no
1993,N1,臆,가슴 억,"""가슴 억"". 가슴, 마음, 겁내다",オク,,"臆 = 月 + 意。 (의미부)「月」는 ""신체의 일부""를 뜻합니다. (소리부 겸 의미부)意는 여기서는「憶」(オク)가 축약된 것으로, ""기억""을 뜻합니다. 臆는 ""가슴속(月)에 남아있는 무서운 기억(憶)"" -> ""가슴, 마음, 겁내다""라는 뜻의 글자입니다. (意->憶는 소리부도 겸함)",음독은 オク입니다. 특별한 점은 없습니다.,臆의 정식 훈독은 없습니다.,no
1994,N1,俺,나 암,"""나 암"". 나(남성의 1인칭)",,おれ,"俺 = 亻 + 大 + 电。 「亻」는 ""사람""을 뜻합니다. 「大」는 ""크다""라는 뜻입니다. 「电」는 ""번개""를 뜻합니다. 俺는 ""번개(电)처럼 크고 강한(大) 남성(亻)"" -> ""나(남성의 1인칭)""이라는 뜻의 글자입니다.",俺의 정식 음독은 없습니다.,俺는 남성의 1인칭입니다.,no
1995,N1,苛,가혹할 가,"""가혹할 가"". 가혹하다",カ,,"苛 = 艹 + 可。 (의미부)「艹」는 ""풀""을 뜻합니다. (소리부)「可」(カ)는 여기서는 소리부의 역할만 하고 있습니다. 苛는 ""날카로운 가시덤불(艹)"" -> ""가혹하다""라는 뜻의 글자입니다(可는 소리부).",음독은 カ입니다. 특별한 점은 없습니다.,苛의 정식 훈독은 없습니다.,no
1996,N1,牙,어금니 아,"""어금니 아"". 이, 엄니",ガ、ゲ,きば,"牙는""동물의 이가 서로 맞물리는 모습""을 그린 상형문자입니다.",음독은 ガ、ゲ입니다. 사용 빈도는 ガ가 훨씬 높습니다. ゲ는象牙(상아) 외에는 거의 쓰이지 않는 음독입니다.,"牙는 ""엄니""를 뜻합니다.",no
1997,N1,崖,언덕 애,"""언덕 애"". 낭떠러지, 벼랑",ガイ,がけ,"崖 = 山 +厓。 (의미부)「山」는 ""산""을 뜻합니다. (소리부 겸 의미부)厓는 여기서는「涯」(ガイ)가 축약된 것으로, ""가장자리, 끝, 한계""를 뜻합니다. 崖는 ""산맥(山) 가장자리(涯)의 낭떠러지"" -> ""낭떠러지, 벼랑""이라는 뜻의 글자입니다. (厓->涯는 소리부도 겸함)",음독은 ガイ입니다. 특별한 점은 없습니다.,"崖는 ""낭떠러지, 벼랑, 절벽""을 뜻합니다.",no
1998,N1,蓋,덮을 개,"""덮을 개"". 뚜껑, 덮개, 덮다",ガイ,ふた,"蓋 = 艹 + 土 +厶+ 皿。 「艹」는 ""풀""을 뜻합니다. 「土」는 ""땅""을 뜻합니다. 厶는 여기서는 ""그릇의 뚜껑""을 그린 모양자입니다. 「皿」는 ""그릇, 접시""를 뜻합니다. 蓋는 ""그릇(皿)의 뚜껑(厶)을 닫아 땅(土) 속에 묻고 풀(艹)로 덮어두다"" -> ""뚜껑, 덮개, 덮다""라는 뜻의 글자입니다.",음독은 ガイ입니다. 특별한 점은 없습니다.,"蓋는 ""뚜껑, 덮개""를 뜻합니다.",no
1999,N1,骸,뼈 해,"""뼈 해"". 뼈, 해골, 백골",ガイ,,"骸 = 骨 + 亥。 「骨」는 ""뼈""를 뜻합니다. 「亥」는 ""도축, 가공된 돼지""를 뜻합니다. 骸는 ""깔끔하게 해체되어(亥) 뼈만(骨) 남은 돼지"" -> ""뼈, 해골, 백골""이라는 뜻의 글자입니다.",음독은 ガイ입니다. 특별한 점은 없습니다.,骸의 정식 훈독은 없습니다.,no
2000,N1,柿,감나무 시,"""감나무 시"". 감나무, 감",,かき,"柿 = 木 + 市。 (의미부)「木」는 ""나무""를 뜻합니다. (소리부)「市」(シ)는 여기서는 소리부의 역할만 하고 있습니다. (柿에는 정식 음독이 없으나, 본래의 음독은 シ입니다.) 柿는 ""감이 열리는 나무(木)"" -> ""감나무""라는 뜻의 글자입니다(市는 소리부).",柿의 정식 음독은 없습니다.,"柿는 ""감, 감나무""를 뜻합니다.",no
2001,N1,顎,턱 악,"""턱 악"". 턱",ガク,あご,"顎 = 咢 + 頁。 「頁」는 ""머리""를 뜻합니다. 咢는 ""콧구멍(吅), 입(一), 턱(丂)""을 그린 모양자입니다. 顎는 ""얼굴(頁) 아래쪽의 턱(咢)"" -> ""턱""이라는 뜻의 글자입니다.",음독은 ガク입니다. 특별한 점은 없습니다.,"顎는 ""턱""을 뜻합니다.",no
2002,N1,葛,칡 갈,"""칡 갈"". 칡",カツ,くず,"葛 = 艹 + 曷。 (의미부)「艹」는 ""풀""을 뜻합니다. (소리부 겸 의미부)「曷」(カツ)는 ""허리를 굽혀 구걸하는 모습""을 그린 글자입니다. 葛는 ""칡뿌리(艹)를 캐먹으며 연명하는 거지(曷)"" -> ""칡""이라는 뜻의 글자입니다. (曷는 소리부도 겸함)",음독은 カツ입니다. 특별한 점은 없습니다.,"葛는 ""칡""을 뜻합니다.",no
2003,N1,釜,가마 부,"""가마 부"". 가마, 솥",,かま,"釜 = 父 + 金。 「金」는 ""쇠, 금속""을 뜻합니다. 父는 여기서는 ""솥뚜껑""을 그린 모양자로 쓰인 것입니다. 釜는 ""무쇠(金)로 된 솥뚜껑(父)"" -> ""가마, 솥""이라는 뜻의 글자입니다.",釜의 정식 음독은 없습니다.,"釜는 ""솥, 가마""를 뜻합니다.",no
2004,N1,瓦,기와 와,"""기와 와"". 기와",ガ,かわら,"瓦는 ""기왓장이 맞물려있는 모습""을 그린 상형문자입니다.",음독은 ガ입니다. 특별한 점은 없습니다.,"瓦는 ""기와""를 뜻합니다.",no
2005,N1,韓,한국 한,"""한국 한"". 한국",カン,,"韓 =𠦝 + 韋。 「𠦝」는 ""떠오르는 아침해""를 그린 글자입니다. 「韋」는 ""성 주위를 돌며 경계서는 발들""을 그린 글자입니다. 韓는 ""떠오르는 아침해(𠦝)가 성(韋)을 비추다""라는 뜻입니다. ""아침의 나라"" -> ""조선"" -> ""한국""이라는 의미입니다.",음독은 カン입니다. 특별한 점은 없습니다.,韓의 정식 훈독은 없습니다.,no
2006,N1,玩,희롱할 완,"""희롱할 완"". 장난감, 즐기다",ガン,,"玩 = 𤣩 + 元。 (의미부)「𤣩」는 ""구슬, 보석""을 뜻합니다. (소리부)「元」(ガン)은 여기서는 소리부의 역할만 하고 있습니다. 玩는 ""구슬(𤣩)을 가지고 놀다"" -> ""장난감, 즐기다""라는 뜻의 글자입니다(元는 소리부).",음독은 ガン입니다. 특별한 점은 없습니다.,玩의 정식 훈독은 없습니다.,no
2007,N1,畿,경기 기,"""경기 기"". 수도 주위의 땅(지명한자)",キ,,"畿 = 幾 + 田。 (소리부)「幾」(キ)는 여기서는 소리부의 역할만 하고 있습니다. (의미부)「田」는 ""밭""을 뜻합니다. 畿는 ""수도 외곽의 곡창지대(田)"" -> ""수도 주변, 경기""라는 뜻의 글자입니다(幾는 소리부). (이 한자는 지명한자로만 쓰이는 글자입니다.)",음독은 キ입니다. 특별한 점은 없습니다.,畿의 정식 훈독은 없습니다.,no
2008,N1,僅,겨우 근,"""겨우 근"". 약간, 조금, 겨우",キン,わず(か),"僅 = 亻 + 堇。 (의미부)「亻」는 ""사람""을 뜻합니다. (소리부 겸 의미부)「堇」(キン)은 ""처벌, 형벌""을 뜻합니다. 僅는 ""처형(堇)당하기 직전인 사람(亻)""이라는 뜻입니다. ""죽기 직전이다, 살 날이 얼마 남지 않다"" -> ""약간, 조금, 겨우""라는 의미입니다. (堇는 소리부도 겸함)",음독은 キン입니다. 특별한 점은 없습니다.,"僅か는 ""조금, 약간, 불과, 겨우""라는 뜻입니다. 예문) 僅かな差で勝つ 근소한 차로 이기다 ここから僅か10分の距離여기서 불과 10분 거리 僅かに難を逃れた 간신히 재난을 모면했다",no
2009,N1,巾,수건 건,"""수건 건"". 수건",キン,,"巾은 ""장대에 걸린 수건""의 모습을 그린 상형문자입니다.",음독은 キン입니다. 특별한 점은 없습니다.,巾의 정식 훈독은 없습니다.,no
2010,N1,串,꼬챙이 관,"""꼬챙이 관"". 꼬챙이, 꼬치",,くし,"串는 ""꼬챙이에 꿰인 떡""을 그린 상형문자입니다.",串의 정식 음독은 없습니다.,"串는 ""꼬챙이, 꼬치""를 뜻합니다.",no
2011,N1,窟,굴 굴,"""굴 굴"". 굴, 동굴",クツ,,"窟 = 穴 + 屈。 (의미부)「穴」는 ""구멍""을 뜻합니다. (소리부 겸 의미부)「屈」(クツ)는 ""굽히다""라는 뜻입니다. 窟는 ""허리를 굽혀(屈) 굴(穴) 속으로 들어가다"" -> ""굴, 동굴""이라는 뜻의 글자입니다. (屈는 소리부도 겸함)",음독은 クツ입니다. 특별한 점은 없습니다.,窟의 정식 훈독은 없습니다.,no
2012,N1,稽,상고할 계,"""상고할 계"". 자세히 생각하다, 고려하다, 헤아리다",ケイ,,"稽 = 禾 + 尤 + 旨。 「禾」는 ""곡식""을 뜻합니다. 尤는 여기서는 ""짐을 메고 걷는 사람""을 그린 모양자입니다(1083.「就」모양 해설 참조). 「旨」는 ""뜻, 취지""를 뜻합니다. 稽는 ""수확한 곡식(禾)을 들쳐메고 걷는 농부(尤)의 생각(旨)""이라는 뜻입니다. ""곡식을 누구에게 얼마에 팔지 고민하다"" -> ""자세히 생각하다, 고려하다, 헤아리다""라는 의미입니다.",음독은 ケイ입니다. 특별한 점은 없습니다.,稽의 정식 훈독은 없습니다.,no
2013,N1,詣,이를 예,"""이를 예"". 이르다, 도달하다, 참배하다",ケイ,もう(でる),"詣 = 言 + 旨。 「言」는 ""말하다""라는 뜻입니다. 「旨」는 ""뜻, 취지""라는 뜻입니다. 詣는 ""뜻(旨)을 말하다(言)""라는 뜻입니다. 라는 의미입니다.",음독은 ケイ입니다. 특별한 점은 없습니다.,"詣でる는 ""신전/불전에 참배하다""라는 뜻의 2그룹 자동사입니다.",no
2014,N1,隙,틈 극,"""틈 극"". 틈, 간극",ゲキ,すき,"隙 = ⻖ + 小 + 日 + 小。 「⻖」는 ""언덕""을 뜻합니다. 「小」는 ""작다""라는 뜻입니다. 「日」는 ""태양""을 뜻합니다. 隙는 ""언덕(⻖) 사이사이의 작은(小小) 틈새로 비쳐 들어오는 햇빛(日)"" -> ""틈, 간극""이라는 뜻의 글자입니다.",음독은 ゲキ입니다. 특별한 점은 없습니다.,"隙는 ""틈, 빈 곳""을 뜻합니다.",no
2015,N1,桁,,"자릿수, 규모",,けた,"桁 = 木 + 行。 「木」는 ""나무""를 뜻합니다. 「行」는 ""가로(행)""을 뜻합니다. 桁는 본래 ""가로질러 놓은 나무(횡목)""라는 뜻으로 만들어진 글자입니다. 늘어서 있는 각각의 횡목을 숫자의 ""자릿수""에 해당하는 위치로 비유한 것입니다. ""나란히 늘어선 횡목"" -> ""자릿수"" -> ""규모""라는 의미입니다. 횡목",桁의 정식 음독은 없습니다.,"桁는 ""자릿수, 규모""를 뜻합니다.",no
