no,word,meaning,hiragana,memorized,memorized_at,created_at
86,商品,상품,しょうひん,yes,2026-03-24 21:47:19,2026-03-24 19:19:25
87,早退,조퇴,そうたい,yes,2026-04-07 22:16:04,2026-03-24 19:19:25
88,直接,직접,ちょくせつ,yes,2026-04-06 23:25:08,2026-03-24 19:19:25
89,冷える,차가워지다/식다,ひえる,yes,2026-03-24 20:18:32,2026-03-24 19:19:25
90,回す,돌리다/회전시키다,まわす,yes,2026-04-06 23:25:17,2026-03-24 19:19:25
91,結ぶ,잇다/매다/묶다,むすぶ,yes,2026-04-05 16:40:56,2026-03-24 19:19:25
92,燃える,타다,もえる,yes,2026-04-06 23:26:40,2026-03-24 19:19:25
93,折れる,부러지다/꺾이다,おれる,yes,2026-04-06 23:26:37,2026-03-24 19:19:25
94,観客,관객,かんきゃく,yes,2026-03-24 21:47:59,2026-03-24 19:19:25
95,共通,공통,きょうつう,yes,2026-04-07 22:16:14,2026-03-24 19:19:25
96,加える,더하다/보태다,くわえる,yes,2026-03-24 21:48:10,2026-03-24 19:19:25
97,訓練,훈련,くんれん,yes,2026-04-06 23:25:33,2026-03-24 19:19:25
98,個人,개인,こじん,yes,2026-03-24 20:24:21,2026-03-24 19:19:25
99,税金,세금,ぜいきん,yes,2026-04-06 23:25:27,2026-03-24 19:19:25
100,到着,도착,とうちゃく,yes,2026-03-24 20:17:01,2026-03-24 19:19:25
101,独立,독립,どくりつ,yes,2026-03-24 20:17:15,2026-03-24 19:19:25
102,測る,재다/달다,はかる,yes,2026-04-07 22:19:28,2026-03-24 19:19:25
103,払う,내다/지불하다,はらう,yes,2026-03-24 20:17:04,2026-03-24 19:19:25
104,方向,방향,ほうこう,yes,2026-03-24 21:48:40,2026-03-24 19:19:25
105,豆,콩,まめ,yes,2026-03-30 21:14:22,2026-03-24 19:19:25
106,申し込み,신청,もうしこみ,yes,2026-03-30 21:15:06,2026-03-24 19:19:25
