no,word,meaning,hiragana,memorized_word,memorized_word_at,memorized_meaning,memorized_meaning_at,memorized_hiragana,memorized_hiragana_at,memorized,memorized_at,created_at
65,求人,구인,きゅうじん,yes,2026-05-05 16:09:25,no,,no,,no,,2026-04-08 22:57:42
66,絞る,조이다 쥐어짜다,しぼる,yes,2026-05-05 16:09:28,no,,no,,no,,2026-04-08 22:57:42
67,柔軟に,유연하게,じゅうなんに,no,,no,,no,,no,,2026-04-08 22:57:42
68,垂直,수직,すいちょく,yes,2026-05-05 16:09:12,no,,no,,no,,2026-04-08 22:57:42
69,費用,비용,ひよう,yes,2026-05-05 16:09:35,no,,no,,no,,2026-04-08 22:57:42
70,握る,쥐다 잡다,にぎる,yes,2026-05-05 16:10:44,no,,no,,no,,2026-04-08 22:57:42
71,密閉,밀폐,みっぺい,yes,2026-05-05 16:10:49,no,,no,,no,,2026-04-08 22:57:42
72,怪しい,수상하다,あやしい,no,,no,,no,,no,,2026-04-08 22:57:42
73,納める,넣다 납입하다,おさめる,yes,2026-05-05 16:05:14,no,,no,,no,,2026-04-08 22:57:42
74,劣る,뒤떨어지다,おとる,yes,2026-05-05 16:10:07,no,,no,,no,,2026-04-08 22:57:42
75,願望,바람 소원,がんぼう,yes,2026-05-05 16:10:57,no,,no,,no,,2026-04-08 22:57:42
76,競う,겨루다 경쟁하다,きそう,yes,2026-05-05 16:10:13,no,,no,,no,,2026-04-08 22:57:42
77,貴重,귀중함,きちょう,yes,2026-05-05 16:10:54,no,,no,,no,,2026-04-08 22:57:42
78,治療,치료,ちりょう,yes,2026-05-05 16:10:21,no,,no,,no,,2026-04-08 22:57:42
79,伴う,동반하다 따르다,ともなう,yes,2026-05-05 16:10:33,no,,no,,no,,2026-04-08 22:57:42
80,批評,비평,ひひょう,no,,no,,no,,no,,2026-04-08 22:57:42
81,容姿,용모 외모,ようし,yes,2026-05-05 16:11:12,no,,no,,no,,2026-04-08 22:57:42
